ticker,shares
KVUE,1920773467.0
L,204427720.0
LDOS,125785466.0
LEN,240895142.0
LH,81100000.0
LHX,186214616.0
LII,34560675.0
LIN,460980163.0
LITE,89700000.0
LLY,891741406.0
LMT,230790753.0
LNT,259284699.0
LOW,561054019.0
LRCX,1251321000.0
LULU,113553918.0
LUV,489208201.0
LVS,647701184.0
LYB,323037952.0
LYV,232959505.0
MA,876009940.0
MAA,116021957.0
MAR,260766288.0
MAS,197187430.0
MCD,707641531.0
MCHP,543008691.0
MCK,116590363.0
MCO,173180984.0
MDLZ,1283649766.0
MDT,1279980861.0
MET,635476927.0
META,2547506225.0
MGM,255851235.0
MKC,268851552.0
MLM,71019382.0
MMM,515722417.0
MNST,1959051764.0
MO,1669743926.0
MOS,317895646.0
MPC,291936635.0
MPWR,49143000.0
MRK,2467171638.0
MRNA,399235889.0
MRSH,477211268.0
MRVL,898704613.0
MS,1570566292.0
MSCI,72700000.0
MSFT,7425545491.0
MSI,165493788.0
MTB,144933000.0
MTD,20036559.0
MU,1129393151.0
NCLH,459187846.0
NDAQ,558977372.0
NDSN,55717948.0
NEE,2085605358.0
NEM,1053692271.0
NFLX,4163939676.0
NI,479560100.0
NKE,1480887033.0
NOC,142063026.0
NOW,1033862000.0
NRG,210210483.0
NSC,224608373.0
NTAP,195919927.0
NTRS,182955653.0
NUE,226875676.0
NVDA,24147000000.0
NVR,2664860.0
NWS,536857251.0
NWSA,536857251.0
NXPI,252164174.0
O,946218033.0
ODFL,207356622.0
OKE,630032852.0
OMC,285006196.0
ON,389318613.0
ORCL,2880471000.0
ORLY,808960792.0
OTIS,380669339.0
OXY,999637371.0
PANW,815000000.0
PAYX,355682860.0
PCAR,526364953.0
PCG,2202366906.0
PEG,498321402.0
PEP,1364891558.0
PFE,5699673589.0
PFG,214104641.0
PG,2324433060.0
PGR,581100000.0
PH,126047469.0
PHM,190486353.0
PKG,89098299.0
PLD,950333372.0
PLTR,2403058480.0
PM,1558613439.0
PNC,399000000.0
PNR,161605541.0
PNW,121197234.0
PODD,69354199.0
PPG,222300000.0
PPL,752544841.0
PRU,345000000.0
PSA,186745748.0
PSKY,1119173058.0
PSX,399020916.0
PTC,108506261.0
PWR,150343393.0
PYPL,855460874.0
Q,209208543.0
QCOM,1068060487.0
RCL,267452084.0
RDDT,192396510.0
REG,183120547.0
REGN,102954988.0
RF,851929506.0
RJF,192361711.0
RL,59582239.0
RMD,144252306.0
ROK,111048676.0
ROL,481145404.0
ROP,98900874.0
ROST,319453110.0
RSG,306212978.0
RTX,1347758144.0
RVTY,111586401.0
SBAC,106088110.0
SBUX,1140000000.0
SCHW,1729335714.0
SHW,242758151.0
SJM,106823183.0
SLB,1484143231.0
SMCI,646873027.0
SNA,51727124.0
SNDK,146419001.0
SNPS,191636646.0
SO,1150362966.0
SOLV,170223729.0
SPG,323559515.0
SPGI,294800000.0
SRE,653900348.0
STE,97500110.0
STLD,143328088.0
STT,274701765.0
STX,227000000.0
STZ,170778434.0
SW,524522908.0
SWK,151016641.0
SWKS,150472782.0
SYF,325370840.0
SYK,383573046.0
SYY,479096016.0
T,6852385650.0
TAP,186453933.0
TDG,55276525.0
TDY,46355673.0
TECH,156818238.0
TEL,289940672.0
TER,156340750.0
TFC,1221626188.0
TGT,454291461.0
TJX,1104704446.0
TKO,73111098.0
TMO,369747286.0
TMUS,1072671613.0
TPL,68974683.0
TPR,199391678.0
TRGP,214431021.0
TRMB,233111519.0
TROW,213315850.0
TRV,208575022.0
TSCO,521040137.0
TSLA,3949547394.0
TSN,351801512.0
TT,220023177.0
TTD,469880194.0
TTWO,186980443.0
TXN,913247686.0
TXT,171986917.0
TYL,40952274.0
UAL,324569728.0
UBER,2042560121.0
UDR,321264222.0
UHS,58936515.0
ULTA,42757471.0
UNH,897594847.0
UNP,594075498.0
UPS,850781582.0
URI,62242489.0
USB,1558051446.0
V,1867047259.0
VEEV,161908850.0
VICI,1101077562.0
VLO,287927461.0
VLTO,243793344.0
VMC,129578739.0
VMRK,773779120.0
VRSK,130156012.0
VRSN,90400000.0
VRT,384988173.0
VRTX,253460924.0
VST,335635195.0
VTR,512946359.0
VTRS,1148590864.0
VZ,4154775202.0
WAB,168910851.0
WAT,98185855.0
WBD,2507136702.0
WDAY,241000000.0
WDC,360540944.0
WEC,325849383.0
WELL,720572011.0
WFC,3023999336.0
WM,399715184.0
WMB,1223167472.0
WMT,7933746241.0
WRB,371227529.0
WSM,117768000.0
WST,70375762.0
WTW,92871937.0
WY,720736000.0
WYNN,102973891.0
XEL,624634306.0
XOM,4111911960.0
XYL,233486812.0
XYZ,600795000.0
YUM,272901085.0
ZBH,190737689.0
ZBRA,47633392.0
ZTS,413223602.0
